Configurations,(mean) value
backwarddm32seql4096,"[0.028491167000083806, 0.027979745999800798, 0.02871005499991952, 0.028123300000061136, 0.028916541999933543, 0.02892006499996569, 0.028548645999990185, 0.028553445999932592, 0.028131903000030434, 0.029324476000056166, 0.028348689000040395, 0.02901796099990861, 0.02914450499997656, 0.028874608000023727, 0.02960184699986712, 0.028572653000082937, 0.029220805000022665, 0.028773383000043395, 0.02865797599997677, 0.028184190000047238, 0.029453036000177235, 0.02817496000011488, 0.028593347999958496, 0.0292484690000947, 0.02891494999994393, 0.029665397999906418, 0.028821070999811127, 0.029818729999988136, 0.02904612499992254, 0.02909247200000209, 0.028516415000012785, 0.02882292399999642, 0.028006311000126516, 0.028429748999997173, 0.029171500000074957, 0.02885040499995739, 0.03008940899985646, 0.029048209999928076, 0.029997530000173356, 0.028570403999992777, 0.028399336000120456, 0.02789651100010815, 0.029027501000200573, 0.028063484000085737, 0.028413449000026958, 0.029400228999975297, 0.02858249600012641, 0.028664928000125656, 0.027937574999896242, 0.02867616599996836, 0.028011998000010863, 0.028824736999922607, 0.029727968000088367, 0.028834175999918443, 0.029377960999909192, 0.02842263500019726, 0.028445801999851028, 0.02784187799989013, 0.028806565999957456, 0.02845575900005315, 0.028529254999966724, 0.02848759199991946, 0.028113983000139342, 0.029422557000089, 0.02799727100000382, 0.028370641999799773, 0.02927522899994983, 0.02872308799987877, 0.028508310999995956, 0.028090172000020175, 0.029013584000040282, 0.028250099999922895, 0.028569548999939798, 0.029665701999874727, 0.028771012000106566, 0.028576232000204982, 0.02800229100012075, 0.029327767000040694, 0.02798753900015072, 0.028498139000021183, 0.02921290299991597, 0.028511491000017486, 0.028942700000015975, 0.028247716000123546, 0.029113557999835393, 0.027987570000050255, 0.028435860000172397, 0.028433676999839008, 0.02849443800005247, 0.029192779000140945, 0.028430206999928487, 0.028720260999989478, 0.027867137999919578, 0.028693119999843475, 0.028640585999937684, 0.02840952900010052, 0.028426733999822318, 0.027856439000061073, 0.028968897999902765, 0.028349689999913608]"
dm32seql8192,"[0.08582053999998607, 0.08957395700008419, 0.08587695799997164, 0.085043449000068, 0.08554446200014354, 0.0869791070001611, 0.08798295400015377, 0.08611354999993637, 0.08553238400008922, 0.0857771920000232, 0.08572075799997947, 0.08556416999999783, 0.08583745400005682, 0.08590582500005439, 0.0860691919999681, 0.08534536499996648, 0.08544584699984625, 0.0857850889999554, 0.08570843300003617, 0.08543714399979763, 0.08555322699999124, 0.08526994699991519, 0.08519561699995393, 0.0856785610001225, 0.08905760000016016, 0.08568948099991758, 0.0858799469999667, 0.08583684799987168, 0.08529191899992838, 0.08512881100000413, 0.08563754300007531, 0.08566320099998848, 0.0853905690000829, 0.08824913500006915, 0.08689652899988687, 0.08551217099989117, 0.08572413000001688, 0.08524128700014444, 0.08573103699995954, 0.08544237399996746, 0.08541657399996438, 0.08539388500003042, 0.08547815800011449, 0.08539586100005181, 0.0855691660001412, 0.08549660199992104, 0.08550633700019716, 0.08541511499993248, 0.08581166699991627, 0.08545696900000621, 0.08547249800017198, 0.08536337799978355, 0.08543493600018337, 0.08543682499998795, 0.08556262999991304, 0.08550114800004849, 0.0854009209999731, 0.08523732100002235, 0.08540245500012134, 0.08564904199988632, 0.08542756500014548, 0.08536934200014912, 0.08600095500014504, 0.08564119100014977, 0.08544415100004699, 0.08541201900015949, 0.08507293299999219, 0.08600086899991766, 0.08563331599998492, 0.08572124500005884, 0.08539229399980286, 0.08506321400000161, 0.08577966400002879, 0.08518194600014795, 0.08565343999998731, 0.08539890299994113, 0.08529250400010824, 0.08580248099997334, 0.0852674279999519, 0.08511734199987586, 0.08530608700016273, 0.08555695700010801, 0.08559832300011294, 0.08536694400004308, 0.08595763499988607, 0.085499979999895, 0.08521344099995076, 0.08554328799982613, 0.08609910899986062, 0.08578398600002402, 0.08517369899982441, 0.08532311900012246, 0.08599707299981674, 0.08487252300005821, 0.0856780090000484, 0.08551246399997581, 0.08527239699992606, 0.08598244699987845, 0.08569278699997085, 0.08534460200007743]"
memoryallocateddm32seql8192,2265186816.0
backwarddm32seql8192,"[0.12400604599997678, 0.11907601000007162, 0.11712970400003542, 0.11683067599983588, 0.12137861200017142, 0.1224904969999443, 0.1177549149999777, 0.11548588999994536, 0.11589685700005248, 0.1154871539999931, 0.1161735780001436, 0.11491983999985678, 0.1163715930001672, 0.11620153199987726, 0.11715068899979997, 0.11580257200012056, 0.1165131109999038, 0.11573892599994906, 0.11733293199995387, 0.11630885499994292, 0.11686566499997753, 0.1178094769998097, 0.11879223599999023, 0.123888640000132, 0.12095719500007363, 0.117147586000101, 0.11546933999989051, 0.11714634200006913, 0.11711945399997603, 0.11638994500003719, 0.11719511099977353, 0.11816999899997427, 0.12182923299997128, 0.12363730599986411, 0.11729226300008122, 0.11727940099990519, 0.11645015599992803, 0.11599400900013279, 0.11691997100001572, 0.11614228399980675, 0.1160637460000089, 0.1157806310000069, 0.11599791200001164, 0.11602097899981345, 0.11533688700001221, 0.11632960399992953, 0.11629599100001542, 0.11634537399982037, 0.11629976099993655, 0.11531822599999941, 0.11544482799990874, 0.11595021800007999, 0.11640164800019193, 0.11727335000000494, 0.11506329500002721, 0.11675829199998589, 0.11686222799994539, 0.11643634300003214, 0.11602962599999955, 0.11661384600006386, 0.11636839799984955, 0.11477438700012499, 0.11724381700014419, 0.11617538899986357, 0.11662945800003399, 0.11453133500003787, 0.1153126419999353, 0.11750021900002139, 0.11602604899985636, 0.11689025399982711, 0.11572506899983637, 0.11601583900005608, 0.11676483500014001, 0.1148327270000209, 0.11631343299995933, 0.11682323300010466, 0.11464049000005616, 0.1178189569998267, 0.11548344800007726, 0.11643785399996887, 0.11576454600003672, 0.11672825100004047, 0.11742341800004397, 0.11574457699998675, 0.11656558699996822, 0.11681532399984462, 0.11446879099980833, 0.11572685900000579, 0.11643951199994262, 0.11786044900009074, 0.11692165400017984, 0.11538935600015066, 0.11691093700005695, 0.11623748399983924, 0.11675894299992251, 0.11605657300015082, 0.1154736179998963, 0.1176267389998884, 0.11720246000004408, 0.11613484000008611]"
dm64seql256,"[0.0004154759999437374, 0.0004002739999577898, 0.0004784459999882529, 0.0004318109999985609, 0.0003982079999786947, 0.0004217270000026474, 0.00040841600002750056, 0.0004085599998688849, 0.0004353819999778352, 0.0005683540000518406, 0.0004295290000300156, 0.0004533129999799712, 0.0003976549999151757, 0.00039515299999948184, 0.0004507189999003458, 0.00040963599985843757, 0.00039807899997867935, 0.00044870499982607726, 0.0004058900001382426, 0.0003983169999628444, 0.00041750099990167655, 0.00044825700001638324, 0.0004128759999275644, 0.0004526620000433468, 0.00046856099993419775, 0.0004009120000318944, 0.00039697100010016584, 0.0004521030000432802, 0.0004410479998568917, 0.0004495219998261746, 0.00042639100001906627, 0.0003970630000367237, 0.00040278400001625414, 0.0004615039999862347, 0.00040047499987849733, 0.00044410300006347825, 0.0005539979999866773, 0.0004071680000379274, 0.0004685330000029353, 0.00040692900006433774, 0.0003968280000208324, 0.00041716999999152904, 0.0004083230001015181, 0.0004006510000635899, 0.00041650000002846355, 0.0004085010000380862, 0.0004513730000326177, 0.0004059149998738576, 0.0003961090001212142, 0.00042678999989220756, 0.0004483400000481197, 0.00040482700001120975, 0.0004218809999656514, 0.00041871999997056264, 0.0004526910001914075, 0.0003971749999891472, 0.0003976020000209246, 0.0004462399999738409, 0.00040620499999022286, 0.0003980030001002888, 0.00048708899998928246, 0.0004046909998578485, 0.0003979740001796017, 0.0004530510000222421, 0.00039730100002088875, 0.00039507800011051586, 0.00045245599994814256, 0.00041650100001788815, 0.0003957309997986158, 0.0004481150001538481, 0.00040438800010633713, 0.0003987259999576054, 0.0004393740000523394, 0.0004447210001217172, 0.00042155199980697944, 0.00040499400006410724, 0.00042962199995599804, 0.00047968899980332935, 0.00039719799997328664, 0.0004011910000372154, 0.0004614540000602574, 0.00039934400001584436, 0.000397391999968022, 0.0004889010001534189, 0.0004020310000214522, 0.0004526019999957498, 0.0004217799998968985, 0.00044791300001634227, 0.0004457459999684943, 0.00041213800000150513, 0.0004047360000640765, 0.00043569800004661374, 0.0004069009999057016, 0.00039751400004206516, 0.00039554199997837713, 0.0004483400000481197, 0.0004065010000431357, 0.00039803000004212663, 0.0004145279999647755, 0.0004571279998799582]"
memoryallocateddm64seql256,21299712.0
backwarddm64seql256,"[0.0006614599999466009, 0.0005798869999580347, 0.0005789809999896534, 0.0006502589999399788, 0.0005929000001287932, 0.0005702920000203449, 0.0006605330002003029, 0.0006577899998774228, 0.0005845719999797439, 0.00067192299979979, 0.0005849939998370246, 0.0006213130000105593, 0.0006346359998588014, 0.0005749809999997524, 0.0006662239998149744, 0.000608974999977363, 0.0005767729999206495, 0.0006019800000558462, 0.0006387849998645834, 0.0006324070000118809, 0.0005760540000210312, 0.000587717000144039, 0.000672973000064303, 0.0006599230000574607, 0.0006263359998683882, 0.0006255180001062399, 0.0005748730000050273, 0.0006311079998795321, 0.0006996820000040316, 0.0006966539999666566, 0.0006656169998677797, 0.0005941399999755959, 0.0005712010001843737, 0.0006870300001082796, 0.0006787099998746271, 0.0006921250001141743, 0.0006952030000775267, 0.0006226759999208298, 0.000656767000009495, 0.0005877869998585084, 0.0005863290000434063, 0.0005771200001163379, 0.0006422409999231604, 0.0006631550002111908, 0.0007789129999764555, 0.0005772739998519683, 0.0005978980000236334, 0.0006384359999174194, 0.0006288080001013441, 0.0005734259998462221, 0.0005684549998932198, 0.0006376339999860647, 0.0007175679997999396, 0.0005697860001419031, 0.0006347570001707936, 0.0006220069999471889, 0.0005954839998594252, 0.0006078149999666493, 0.0006755700001122023, 0.0006702779999159247, 0.000612477000004219, 0.000637068000060026, 0.0006576690000201779, 0.0006468369999765855, 0.0005918879999171622, 0.0005715749998671527, 0.0006205639999734558, 0.0007086370001161413, 0.0005775700001322548, 0.0005874369999219198, 0.0006438289999550761, 0.0006222080000952701, 0.0005737579999731679, 0.0005723619999571383, 0.0006622900000365917, 0.0006129299999884097, 0.0005892449999009841, 0.0006937709999874642, 0.0006008129998917866, 0.0006341660000543925, 0.000649329999987458, 0.0006193429999257205, 0.0006437590000132332, 0.000640348999922935, 0.0005751040000632202, 0.0006375400000706577, 0.0006227399999261252, 0.0005707499999516585, 0.0005930419999913283, 0.0006716739999319543, 0.0006079920001411665, 0.0005688829999144218, 0.0006383490001553582, 0.0005802249997941544, 0.0005936610000389919, 0.0006039800000507967, 0.000643502000002627, 0.0006592810000256577, 0.0005955579999863403, 0.0006259640001644584]"
dm64seql1024,"[0.001508908000005249, 0.0015042139998513449, 0.0015453430000889057, 0.0015104680001059023, 0.0015097960001639876, 0.0015082400000210328, 0.0017839949998688098, 0.0017972739999549958, 0.0017727310000736907, 0.0017881259998375754, 0.0019213699999909295, 0.001928120000002309, 0.0019277530000181287, 0.0019347049999396404, 0.0019487680001475383, 0.001977497000098083, 0.0019877300001098774, 0.001971512999944025, 0.0019768670001667488, 0.0019330959999024344, 0.0019248060000336409, 0.0019436939999195602, 0.001923882000028243, 0.0018777089999275631, 0.0018810490000760183, 0.0018779559998165496, 0.0018921420000879152, 0.0018824769999810087, 0.001866594999910376, 0.0018792579999171721, 0.0018562210000254709, 0.0018588210000416439, 0.0018448790001457382, 0.0018497359999400942, 0.0018456609998338536, 0.0018540400001256785, 0.001860800000031304, 0.0018463439998868125, 0.0018462709999766957, 0.0018438250001509005, 0.0018889529999341903, 0.0018449889998919389, 0.0018501800000194635, 0.0018487469999399764, 0.0018481820000033622, 0.001856846000009682, 0.001907033999941632, 0.0018742519998795615, 0.0018120189999990544, 0.0018092450000040117, 0.0018018949999714096, 0.0018353320001551765, 0.0017963059999601683, 0.0018018900000242866, 0.0018048879999241763, 0.0018019619999449787, 0.0018074350000460981, 0.0018064029998186015, 0.001839319000055184, 0.001809448000130942, 0.0018387400000392518, 0.0018501500001093518, 0.0018396210000446445, 0.001833919000091555, 0.001797949000092558, 0.0018058660000406235, 0.0017991330000768357, 0.0017990639998970437, 0.0018550289998984226, 0.0017717160001211596, 0.001773167999999714, 0.0017692620001525938, 0.0017687939998722868, 0.001763948999951026, 0.0018075990001307218, 0.0017961349999495724, 0.001798317999828214, 0.0018111560000306781, 0.0017956480000975716, 0.0017998870000610623, 0.0017948550000710384, 0.0017950680000922148, 0.001794271999870034, 0.0017570249999607768, 0.001801489000172296, 0.0017634189998716465, 0.0017679279999356368, 0.0017611989999295474, 0.0017539929999657033, 0.0017507350000869337, 0.0017715960000259656, 0.0017655789999935223, 0.001757175999955507, 0.0018226140000479063, 0.001766854999914358, 0.001763771000014458, 0.0017762690001745796, 0.0017723400001159462, 0.0017565509999712958, 0.0017523760000131006]"
memoryallocateddm64seql1024,60031488.0
backwarddm64seql1024,"[0.0019309869999233342, 0.0019450939998932881, 0.001973035999981221, 0.001927579000039259, 0.0019437480000306095, 0.0021169299998291535, 0.002232614999911675, 0.0022173910001583863, 0.002212606000057349, 0.0022752869999749237, 0.002395020999983899, 0.0023945620000631607, 0.0023958809999840014, 0.0024023119999583287, 0.0024506449999535107, 0.0024623929998597305, 0.0024578610000389745, 0.002502721999917412, 0.0024239130000296427, 0.0023973790000582085, 0.0023936850000154664, 0.0024019219999900088, 0.002455000000054497, 0.0023367020000932825, 0.0023629600000276696, 0.002595902999928512, 0.0023785480000242387, 0.002300040999898556, 0.002291153999976814, 0.0023331909999342315, 0.002304815999877974, 0.002310248999947362, 0.0023467390001314925, 0.0023237020000124176, 0.002310041000100682, 0.0023043649998726323, 0.002292742999998154, 0.0023436419999143254, 0.0022971729999881063, 0.002291382999828784, 0.0023652350000702427, 0.0022931490000246413, 0.0023035480000999087, 0.0023513090000051307, 0.0023114529999475053, 0.0023327790001985704, 0.0022651750000477477, 0.0022456060000877187, 0.0022550310000042373, 0.002245502000050692, 0.0022511390000090614, 0.0022677659999317257, 0.002247823000061544, 0.00225306999982422, 0.0022977539999828878, 0.002253617999940616, 0.0022591550000470306, 0.002299591000110013, 0.0022778100001232815, 0.0023188340001070173, 0.002306445000158419, 0.002287572000113869, 0.0023528940000687726, 0.0022894399999131565, 0.0022575299999516574, 0.0022773469997900975, 0.0022375229998488066, 0.0022869020001508034, 0.002260879000004934, 0.002204766999966523, 0.002288856000177475, 0.0022191159998783405, 0.00221326499990937, 0.0022505640001782012, 0.0022945579999031906, 0.0022515069999826665, 0.0022466120001354284, 0.0023421379999035707, 0.0022463000000243483, 0.002235135000091759, 0.0022943720000512258, 0.002272086999937528, 0.002213678000089203, 0.002246870000135459, 0.0021994670000822225, 0.0022791060000599828, 0.002194465999991735, 0.0022027909999451367, 0.0021984300001349766, 0.002197654999918086, 0.002239934000044741, 0.0022067760000936687, 0.00239474899990455, 0.0025268699998832744, 0.0022040950000246085, 0.0022560070001418353, 0.002234168999848407, 0.0021846100000857405, 0.0021897569999964617, 0.0021841719999429188]"
dm64seql4096,"[0.01843056500001694, 0.017728070000202933, 0.01778425099996639, 0.018108844999915163, 0.018232328999829406, 0.018449801000087973, 0.01821108700005425, 0.018225462999907904, 0.018540181000162193, 0.018402341999944838, 0.017928111999935936, 0.018518382999900496, 0.018228538000130357, 0.018217465000134325, 0.022037628000134646, 0.018218526999817186, 0.018382218999931865, 0.018752081999991788, 0.018434194000064963, 0.018187861000114935, 0.01822254800003975, 0.018687294000073962, 0.018223171000045113, 0.018259405999970113, 0.017729060999954527, 0.018060257000115598, 0.018214434999890727, 0.019664324999894234, 0.017853314000149112, 0.01810474300009446, 0.01833134899993638, 0.018264491999843813, 0.017980308000005607, 0.018292353999868283, 0.018329857000026095, 0.01800976599997739, 0.018292540999937046, 0.018568563000144422, 0.018231254999818702, 0.0180090950000249, 0.018563426999889998, 0.018313912999929016, 0.017865622000044823, 0.017976195000073858, 0.01793077100001028, 0.01865478400009124, 0.01868708000006336, 0.018157435999910376, 0.017878917999951227, 0.018149962000052255, 0.0182377500000257, 0.018240639999930863, 0.0183271999999306, 0.018124434999890582, 0.01816729399979522, 0.01808455199989112, 0.01786881800012452, 0.01845103999994535, 0.018456196999977692, 0.018241803999899275, 0.018225336000114112, 0.018649804000006043, 0.018128321999938635, 0.01823735800007853, 0.01816374400004861, 0.018198567999888837, 0.017967141000099218, 0.018374090999941473, 0.01768064499992761, 0.01820538700008001, 0.018456259000004138, 0.018140901999913694, 0.018420642000137377, 0.018470799999931842, 0.01817260100006024, 0.018219197000007625, 0.018507007999915004, 0.01822605899997143, 0.01831269300009808, 0.018767174999993586, 0.01812278200009132, 0.01802861800001665, 0.01873223200004759, 0.018460777999962374, 0.018041465999885986, 0.018660804000091957, 0.018240511999920273, 0.017909809000002497, 0.01863421100006235, 0.018203185000174926, 0.018037653999954273, 0.01872091299992462, 0.01842971399992166, 0.018259812999986025, 0.019366472999990947, 0.018517762999863407, 0.01826318099983837, 0.018168759999980466, 0.018750136999869937, 0.018309538000039538]"
memoryallocateddm64seql4096,604242432.0
backwarddm64seql4096,"[0.028229229000089617, 0.027691148000030807, 0.027958904999877632, 0.028321411999968404, 0.029391274999852612, 0.02794669599984445, 0.028272151000010126, 0.029155362999972567, 0.02834755200001382, 0.02828711100005421, 0.029332741999951395, 0.028341916000044876, 0.02849306100006288, 0.034421959000155766, 0.029905278999876828, 0.02793795700017654, 0.028948374000037802, 0.029634300999987317, 0.02794362299982822, 0.028632510000079492, 0.0297596429998066, 0.02830630000016754, 0.028335250000054657, 0.02805255200019019, 0.02760266799987221, 0.028542226000126902, 0.029432116999942082, 0.02805555200006893, 0.028037185999892245, 0.028996633999895494, 0.028405598999825088, 0.02823000300008971, 0.028606363000108104, 0.02802586099983273, 0.02859253500014347, 0.02860450299999684, 0.028401178999956755, 0.028843706000088787, 0.027976115999990725, 0.02880795000010039, 0.028534189000083643, 0.02776472300001842, 0.02810406999992665, 0.02799497099999826, 0.029489506999880177, 0.028767324999989796, 0.02888347399994018, 0.027813354000045365, 0.028320645000121658, 0.02857635400005165, 0.028595777999953498, 0.028332883000075526, 0.028995767999958844, 0.028550977000122657, 0.02794089299982261, 0.02848326900016218, 0.029350619999831906, 0.028308751999929882, 0.02911744500011082, 0.028593771000032575, 0.028101210999921022, 0.029301966000048196, 0.02859229600016988, 0.028310656999792627, 0.0285705720000351, 0.02847263900002872, 0.027991091000103552, 0.02884175100007269, 0.028721959999984392, 0.028314096000030986, 0.02893029100005151, 0.029166206999889255, 0.028308513999945717, 0.029147104999992735, 0.028696434000039517, 0.02831520800009457, 0.02911833600001046, 0.02861590299994532, 0.028715056999999433, 0.0292293279999285, 0.028202930999896125, 0.02832824699999037, 0.02953088399999615, 0.02800300499984587, 0.028303384000082588, 0.029334806999941065, 0.02783866000004309, 0.028691918000049554, 0.02888014099994507, 0.028828041999986453, 0.028391590999945038, 0.02957817099991189, 0.028109275999895544, 0.02890351099995314, 0.02983269400010613, 0.028295165999907113, 0.028464397000107056, 0.02999658599992472, 0.02831682000010005, 0.02850410899986855]"
dm64seql8192,"[0.08543958899986137, 0.08528174299999591, 0.08416687500016451, 0.08444634099987525, 0.08641092399989247, 0.0889054900001156, 0.08790317200009667, 0.0862612870000703, 0.08458222499984913, 0.08358952699995825, 0.08794370400005391, 0.08928299599983802, 0.0892529329998979, 0.08459680600003594, 0.0838507970001956, 0.08433996099984142, 0.08971416899998985, 0.08895477399983065, 0.08891632800009575, 0.08594276899998476, 0.08568188399999599, 0.08385644100007994, 0.08491769200009003, 0.08535489700011567, 0.08959737400004997, 0.08644836799999212, 0.08679770900016592, 0.08526369599985628, 0.08683312300013313, 0.08694875200012575, 0.08572235700012243, 0.08713117399997827, 0.0844890169998962, 0.08385930000008557, 0.08566215600012583, 0.08423661699998775, 0.08838243700006387, 0.0887969550001344, 0.0898835009998038, 0.0901654360000066, 0.0901918739998564, 0.0885257540001021, 0.08928507399991759, 0.08978178999996089, 0.08999461899998096, 0.09048388699989118, 0.08700589200020659, 0.0886102749998372, 0.08968344699997033, 0.08959642800004985, 0.09013057399988611, 0.08908244100007323, 0.0888415779998013, 0.08946555800002898, 0.09028343599993605, 0.0900716480000483, 0.08863068799996654, 0.08988544999988335, 0.09009242299998732, 0.09095306599988362, 0.0900012350000452, 0.08803404799982673, 0.08953433599981508, 0.09019720200012671, 0.09023374499997772, 0.09081279200017889, 0.08859998499997346, 0.0901413080000566, 0.09072059999994053, 0.09038530299994818, 0.09162974199989549, 0.08928471500007618, 0.0901910500001577, 0.09054746600008912, 0.090149522000047, 0.09038672199994835, 0.08967042700010097, 0.09152996500006338, 0.08992179599999872, 0.08872123099990858, 0.09082745299997441, 0.0898915529999158, 0.09090880200005813, 0.08965275199989264, 0.09064784499992129, 0.09059491700008948, 0.09128574500005016, 0.09055037099983565, 0.09093832799999291, 0.09039081400010218, 0.08972865900000215, 0.09148207299995192, 0.09085877899997286, 0.09040490300003512, 0.09119733500006078, 0.09008930300001339, 0.09149890000003325, 0.09048772500000268, 0.09116656100013643, 0.08990677800011326]"
memoryallocateddm64seql8192,2298741248.0
backwarddm64seql8192,"[0.136438372999919, 0.1364385530000618, 0.13527257399982773, 0.13306384299994534, 0.1280378290000499, 0.13199450699994486, 0.133830787000079, 0.13456876999998713, 0.13434896299986576, 0.12920508100000916, 0.13094702300008976, 0.1325577559998692, 0.13152706200003195, 0.13592614200001663, 0.1352657900001759, 0.12822260500001903, 0.13083621500004483, 0.1321368200001416, 0.13327284799993322, 0.13447038800018163, 0.13540619500008688, 0.1356319449998864, 0.13401699699988967, 0.12967203599987442, 0.13052713699994456, 0.13428226699988954, 0.13503828200009593, 0.13685298600012175, 0.13567570700001852, 0.13565588500000558, 0.13598075099980633, 0.13415748900001745, 0.13666087299998253, 0.13533124599985058, 0.13620189500011293, 0.12708610999993653, 0.1319726950000586, 0.13341124499993384, 0.13284271799989256, 0.1331385890000547, 0.13169743999992534, 0.13464437199991153, 0.13211409400014418, 0.1330110930000501, 0.131969356999889, 0.13209984100012662, 0.13447114499990676, 0.1344382030001725, 0.13469446700014487, 0.1325309339999876, 0.13289732900011586, 0.1322742620000099, 0.13274923300014052, 0.13358292200018695, 0.1331516030002149, 0.13257263600007718, 0.13251902700017126, 0.132572841999945, 0.13370831700012786, 0.13207336799996483, 0.13142875799985632, 0.13431063699999868, 0.13239769399979195, 0.1324905999999828, 0.13292486899990763, 0.13142326599995613, 0.13327936399991813, 0.13219701000002715, 0.1327831599999172, 0.13178248999997777, 0.13189771499992275, 0.13179822500001137, 0.13232637400005842, 0.1323502320001353, 0.13215578499989533, 0.13172610299989174, 0.13211899399993854, 0.13169758300000467, 0.1313945969998258, 0.13311724800018965, 0.13217428899997685, 0.1318217809998714, 0.1325551610000275, 0.1309752090000984, 0.13196234600013668, 0.13139581499990527, 0.1289880940000785, 0.13248383499990268, 0.1313653479999175, 0.13144229999988966, 0.13260843800003386, 0.1307372439998744, 0.13168942999982391, 0.13103907499998968, 0.13109969000015553, 0.1321071419999953, 0.13188890700007505, 0.13159310699984417, 0.13227931899996292, 0.1321372859999883]"
dm128seql256,"[0.00045814500003871217, 0.0004973909999534953, 0.00044377599988365546, 0.0004999189998216025, 0.0004418569999415922, 0.0004951109999637993, 0.000443752999899516, 0.0004576419999011705, 0.0005003039998427994, 0.00044246399988878693, 0.0004955819999850064, 0.00044544100001076004, 0.0004621010000391834, 0.0005093620000025112, 0.00045013399994786596, 0.000496713000075033, 0.00044139199985693267, 0.0004415399998833891, 0.00044327699993118586, 0.0004425229999469593, 0.0004981769998266827, 0.0004496480000852898, 0.00044371200010573375, 0.0004486130001168931, 0.00044298300008449587, 0.0004996999998638785, 0.00044155999989925476, 0.00044576499999493535, 0.0004584839998642565, 0.0004966909998529445, 0.0004432410000845266, 0.0005224520000410848, 0.0004411419999996724, 0.00044095999987803225, 0.0004462429999421147, 0.00045677200000682205, 0.0004966809999586985, 0.0004450300000371499, 0.0004672499999287538, 0.0004951930000061111, 0.00044216900005267235, 0.0004919380000956153, 0.00044930200010639965, 0.00046967899993433093, 0.0004417069999362866, 0.00045682099994337477, 0.0005049510000390001, 0.0004544299999906798, 0.0005301659998622199, 0.00044881600001644983, 0.00044006699999954435, 0.00044299999990471406, 0.0004411990000789956, 0.0004970060001596721, 0.000442468000073859, 0.00047588399979758833, 0.0005078930000763648, 0.0004397990001052676, 0.00048781000009512354, 0.00043924600004174863, 0.0004395830001158174, 0.0004940480000641401, 0.0004385500001262699, 0.000448947999984739, 0.00043990499989376985, 0.0005032399999436166, 0.00043906300015805755, 0.0005438660000436357, 0.00044961800017517817, 0.00048049700012597896, 0.00045515900001191767, 0.0004750489999878482, 0.0004942030000165687, 0.0004395870000735158, 0.0004691379999712808, 0.00044259400010560057, 0.0004405839999890304, 0.0005054279999967548, 0.0004388180000205466, 0.0004406069999731699, 0.00044410800001060124, 0.00043907899998885114, 0.0004989740000382881, 0.00044123099996795645, 0.0004532520001703233, 0.0004954969999744208, 0.00044062699998903554, 0.0004595600000811828, 0.0004912429999421875, 0.0004410869998991984, 0.0004396510000788112, 0.0004486560001168982, 0.0004394320001210872, 0.0004975040001227171, 0.0004434009999840782, 0.00044035499990968674, 0.00051900299990848, 0.0004550310000013269, 0.0005086609999125358, 0.00043714200000977144]"
memoryallocateddm128seql256,23396864.0
backwarddm128seql256,"[0.0006558970001151465, 0.0007076839999626827, 0.0006566319998455583, 0.0006530470000143396, 0.0006567289999566128, 0.0006487299999662355, 0.0007106509999630362, 0.000654823000104443, 0.0006958020001093246, 0.0006543360000250686, 0.0006496060000245052, 0.0006852579999758746, 0.0006497750000562519, 0.0006865969999125809, 0.0006596969999463909, 0.0006734699998105498, 0.0006639420000738028, 0.0006529159998081013, 0.0007053850001739193, 0.0006546980000621261, 0.0006750649999958114, 0.0006952419998924597, 0.0006877050000184681, 0.0007052450000628596, 0.0006522559999666555, 0.0006982929999139742, 0.0006498290001673013, 0.0007196210001438885, 0.0006556660000569536, 0.000649669000040376, 0.0009100849999867933, 0.0006720829999267153, 0.000665000000026339, 0.0006520130000353674, 0.0007209379998585064, 0.0006520819999877858, 0.000645767999913005, 0.0006511630001568847, 0.0006494280000879371, 0.0006908169998496305, 0.0006526669999402657, 0.0006643680001161556, 0.000652288999845041, 0.0006523839999772463, 0.0006829080000443355, 0.000653195000040796, 0.0006968079999296606, 0.0006896059999235149, 0.0006950509998659982, 0.0006556869998348702, 0.0006492230002095312, 0.0007052779999412451, 0.0006532529998821701, 0.0006470619998708571, 0.0006571369999619492, 0.0006716489999689657, 0.0006967990000248392, 0.0006535499999245076, 0.0006452759998865076, 0.0006951020000087738, 0.0006469449999713106, 0.0006623799999943003, 0.0006756959999165701, 0.0007019790000413195, 0.0006569510001099843, 0.0006960780001463718, 0.000653887999988001, 0.0007612879999214783, 0.0006713779998790415, 0.0006583290000889974, 0.0006958230001146148, 0.0006462010001087037, 0.0006602409998777148, 0.0006558590000622644, 0.0006484269999873504, 0.000731473000087135, 0.0006715819999953965, 0.0006667019999895274, 0.0007340510001085931, 0.0006544479999774921, 0.0007091850000051636, 0.0006512739998925099, 0.0007257439999648341, 0.0010127379998721153, 0.0006672619999790186, 0.0006446840000080556, 0.0006494859999293112, 0.0006440090000978671, 0.0007210579999537003, 0.0006539649998558161, 0.0006968469999719673, 0.0006913370000347641, 0.0006450109999605047, 0.0006659279999894352, 0.0006818820002081338, 0.0006449649999922258, 0.0007116580000001704, 0.0006727100001171493, 0.0006733430000167573, 0.0007062289998884808]"
