Configurations,(mean) value
memoryallocateddm16seql8192,2248409600.0
backwarddm16seql8192,"[0.11003021999999874, 0.11044580499992662, 0.11045504200001233, 0.11013550699999541, 0.10995354600004248, 0.1102305689998957, 0.11092339200013157, 0.11027475999981107, 0.10970426299991232, 0.10830147499996201, 0.10849909899980048, 0.10786538299998938, 0.10995001800006321, 0.11285907499996028, 0.11254043900021315, 0.11211248700010401, 0.11017263900021135, 0.11058264700000109, 0.11053181700003734, 0.10890560300003926, 0.1129211850000047, 0.1132460019998689, 0.11181774900001074, 0.10940346100005627, 0.10911178299988933, 0.11529095800005962, 0.11295216500002425, 0.1092551540000386, 0.11059351600010814, 0.11523405200000525, 0.11229787299998861, 0.11334445300008156, 0.11337092899998424, 0.11455562800006192, 0.11087070300004598, 0.11040070099988952, 0.11530843400009871, 0.11268412699996588, 0.11133656400011205, 0.11258131199997479, 0.11552456000003986, 0.11083799200014255, 0.11414191400012896, 0.1144792850000158, 0.11117180799988091, 0.11652692999996361, 0.11176332000013645, 0.1129943490000187, 0.11527849800017975, 0.11169328200003292, 0.11570540100001381, 0.11150399200005268, 0.11116083199999593, 0.11683002900008432, 0.10927713300020514, 0.1164743270001054, 0.11248325199994724, 0.11652865900009601, 0.11398978400006854, 0.11264643699996668, 0.11481636899998193, 0.11236077100011244, 0.11677328499990836, 0.11194000699993012, 0.11669858400000521, 0.11347934100012935, 0.11708400700013044, 0.11292602999992596, 0.1163283829998818, 0.11386907800010704, 0.11650920400006726, 0.11358317799999895, 0.11584081399996649, 0.11275841300016509, 0.1167489659999319, 0.11750611000002209, 0.11454243799994401, 0.11797753299993019, 0.11199078499998905, 0.12072033399999782, 0.11656069500008925, 0.11187309999991157, 0.11754838299998482, 0.11190152499989381, 0.11653703699994367, 0.10969472200008568, 0.11752791799995066, 0.11536793700020098, 0.113061775999995, 0.1173780799999804, 0.1140293030000521, 0.11560750099988581, 0.11815208399980293, 0.11291968099999394, 0.11727810200000022, 0.11536803600006351, 0.11350754900013271, 0.11815183900012016, 0.11629465700002584, 0.11366467700008798]"
dm32seql256,"[0.00036820099990109156, 0.00040697700001146586, 0.00035175400012121827, 0.0003583249999792315, 0.00039491000006819377, 0.0004038950000904151, 0.000357166999947367, 0.00034335700001975056, 0.00034501999994063226, 0.00041292299988526793, 0.0003580439999950613, 0.00035980300003757293, 0.0003955570000471198, 0.0003960030001053383, 0.00035382700002628553, 0.00034240700006193947, 0.00034253500007253024, 0.00040051499991022865, 0.0004040129999793862, 0.00042002899999715737, 0.00034307000009903277, 0.0003530090000367636, 0.00034127200001421443, 0.0003431269999509823, 0.00041051300013350556, 0.00036204900015945896, 0.0003506329999254376, 0.0004191840000657976, 0.0004009100000530452, 0.00040769700012788235, 0.0003554049999365816, 0.0003420159998768213, 0.00034054599996125035, 0.00039274900018426706, 0.00040633000003253983, 0.0003976039999997738, 0.0003385949999028526, 0.0003622100000484352, 0.0004112050000912859, 0.00035330200012140267, 0.0003411600000617909, 0.00033821100009845395, 0.00035458499996821047, 0.00036272600004849664, 0.0003422810000301979, 0.00039801100001568557, 0.00040086299986796803, 0.00035369500005799637, 0.00034827700005735096, 0.00034097299999302777, 0.00039509399994130945, 0.0004311489999508922, 0.00036782400002266513, 0.00034133299982386234, 0.00034180500006186776, 0.00040046899994194973, 0.0004051849998631951, 0.0004067869999744289, 0.0004399720000947127, 0.0005199659999561845, 0.00034198000003016205, 0.0003985410000950651, 0.0004022489999897516, 0.0003431819998240826, 0.00039568200008943677, 0.00039675199991506815, 0.00035156499984623224, 0.00036593799995898735, 0.000343286000088483, 0.0004013149998627341, 0.00041161600006489607, 0.0003539519998412288, 0.00034552799979792326, 0.00034175099995081837, 0.00039054600006238616, 0.000430733000030159, 0.00037490599993361684, 0.00034120899999834364, 0.00033993199986070977, 0.0003941659999782132, 0.0003962349999255821, 0.0003562919998785219, 0.0003491950001262012, 0.0003381889998763654, 0.0003698450000229059, 0.0003417269999772543, 0.0003436149997924076, 0.0004046960000323452, 0.0004080740000063088, 0.0003556629999366123, 0.0003435450000779383, 0.00040168799978346215, 0.00042585199980749167, 0.0003557349998573045, 0.00034872900005211704, 0.0003450980000252457, 0.00039370599984067667, 0.0004101249999166612, 0.00035415199999988545, 0.0004066870001224743]"
memoryallocateddm32seql256,20251136.0
backwarddm32seql256,"[0.0005935459998909209, 0.0006250720000480214, 0.0006713590000799741, 0.0005863159999535128, 0.0005766449999100587, 0.0006372499999542924, 0.0006409439999970346, 0.0006347910000386037, 0.0005694970000149624, 0.000598731000081898, 0.0006690920001801715, 0.0006051889999980631, 0.0005737060000683414, 0.0005746900001213362, 0.0006557970000358182, 0.0005759849998412392, 0.0005670269999882294, 0.0005830229999901348, 0.0006532620000143652, 0.0006150100000468228, 0.0006294160000379634, 0.0006370950000018638, 0.0006170380002004094, 0.0005664959999194252, 0.0005682720000095287, 0.0006166850000681734, 0.0006577689998721326, 0.0005867289999059722, 0.0005674090000411525, 0.0006072799999401468, 0.0006371490001129132, 0.0005747109998992528, 0.0005636289999984001, 0.0005694450001101359, 0.0007211329998426663, 0.000658433999888075, 0.0005618070001673914, 0.0005770820000634558, 0.0005977119999442948, 0.0006452489999446698, 0.0005945670000073733, 0.0005868670000381826, 0.0006590650000362075, 0.0006152040000415582, 0.0005648919998293422, 0.0005720470001051581, 0.0005658350000885548, 0.0006523140000354033, 0.0006137609998404514, 0.0005668750000040745, 0.0005754539999998087, 0.0006348540000544745, 0.000643631999992067, 0.0006037140001353691, 0.000564940000003844, 0.0005733870000312891, 0.0008002429999578453, 0.0006395729999439936, 0.0006254469999475987, 0.0007059330000629416, 0.0005906239998694218, 0.0005658180000409629, 0.0005836830000589543, 0.0005681239999830723, 0.0005730769998990581, 0.0005645599999297701, 0.0006565920000412007, 0.0006169359999148583, 0.0005676440000570437, 0.0005696789999092289, 0.0005693890000202373, 0.0006422639999072999, 0.000616258000036396, 0.0005682399998931942, 0.0005681889999777923, 0.0006242939998628572, 0.0006409039999653032, 0.0005721400000311405, 0.00056065699982355, 0.0005712890001632331, 0.0005932699998538737, 0.0006707800000640418, 0.0005732950000947312, 0.0006345120000332827, 0.0006344650000755792, 0.0005694689998563263, 0.0005946700000549754, 0.0005748600001425075, 0.0006039869999767689, 0.0006614769999941927, 0.0005995399999392248, 0.0005883419999008765, 0.0006019120000928524, 0.0006352699999752076, 0.0006125529998826096, 0.0005662840001150471, 0.0005679869998402864, 0.000604294000140726, 0.0006338040000173351, 0.0006785569999010477]"
dm32seql1024,"[0.0017826240000431426, 0.0017698909998671297, 0.0017731610000737419, 0.0017672760000095877, 0.0018852989999231795, 0.00177164100000482, 0.0017727429999467859, 0.001786880000054225, 0.0018129420000150276, 0.0017789470000479923, 0.0018164619998515263, 0.0017847120000169525, 0.0017676069999197352, 0.0017753510001057293, 0.0017747150000104739, 0.0017842389997895225, 0.0017698159999781637, 0.0017917800000759598, 0.001771888999883231, 0.0017740289999892411, 0.0017683860000943241, 0.0017786509999950795, 0.0016242460001194559, 0.0015335439998125366, 0.001521025999863923, 0.0015197309999166464, 0.0015416060000461584, 0.001506772000084311, 0.0015054529999360966, 0.0014984800000092946, 0.0014967519998663192, 0.0015019550000943127, 0.001487604999965697, 0.001488069999822983, 0.001505749999978434, 0.001498594999929992, 0.0015039859999887994, 0.0015037350001421146, 0.001490255999897272, 0.0014855470001293725, 0.0014908169998761878, 0.001517615000011574, 0.0015416229998663766, 0.0014928200000667857, 0.001495162000082928, 0.0014870810000502388, 0.00157184599993343, 0.0016233100000135892, 0.0015349430000242137, 0.0016163699999651726, 0.0015595810000377242, 0.001621061999912854, 0.0015814579999187117, 0.0015635629999906087, 0.0015450599998985126, 0.001595534999978554, 0.0015180709999640385, 0.0014907130000665347, 0.0014913800000613264, 0.0014940430000933702, 0.0015141130002120917, 0.0014876640000238694, 0.0015405509998345224, 0.0014941530000669445, 0.0014988289999564586, 0.0015001790000042092, 0.0015029969999886816, 0.0014914459998180973, 0.0014906220001194015, 0.0014935980000245763, 0.0015099470001587179, 0.0015234899999541085, 0.0015015369999673567, 0.001490385000124661, 0.0013070029999653343, 0.0013286169998991681, 0.0013009790000069188, 0.001297993999969549, 0.0013147109998499218, 0.0013049410001713113, 0.0013186529999984486, 0.0013055330000497634, 0.00130622200003927, 0.0013019929999700253, 0.0013001770000755641, 0.0013029410001763608, 0.0013060520000180986, 0.001304242000060185, 0.0013158350000139762, 0.001409410999940519, 0.0013274630000523757, 0.0013135039998815046, 0.0013211100001626619, 0.0013220370001363335, 0.00131218199999239, 0.0013474889999542938, 0.0013134499999978289, 0.0013628369999878487, 0.001510009000185164, 0.0013772859999789944]"
memoryallocateddm32seql1024,55837184.0
backwarddm32seql1024,"[0.002768581000054837, 0.002778353999929095, 0.0027753849999498925, 0.0027661899998747685, 0.0027776399999766, 0.0028267170000617625, 0.0027714329999071197, 0.0027619340000910597, 0.0027608210000380495, 0.0028011730000798707, 0.0028425509999578935, 0.0028242229998340918, 0.0029739050000898715, 0.0027593299998898146, 0.0027612619999217713, 0.002758997000000818, 0.0027825099998608493, 0.002823452000029647, 0.0028157330000340153, 0.00283746200011592, 0.002754376999973829, 0.0027933820001635468, 0.002289746000087689, 0.0022839050000129646, 0.002256674999898678, 0.002250620000040726, 0.002277265999964584, 0.0022075319998293708, 0.0022229129999686847, 0.0022120730000096955, 0.0022039799998765375, 0.002202126000156568, 0.0022071880000567035, 0.0022065840000777825, 0.002206306000061886, 0.0021983579999869107, 0.0022392569999283296, 0.0022426779999022983, 0.002255320999893229, 0.0022383289999652334, 0.0022455809998973564, 0.002246558000024379, 0.002237559999912264, 0.002243382999949972, 0.002203694000172618, 0.002211631000136549, 0.002259399000195117, 0.0037416970001231675, 0.0030628600000000006, 0.0022145259999888367, 0.002283536000049935, 0.0025262689998726273, 0.0023244019998855947, 0.002236992999996801, 0.0022754249998797604, 0.0022851349999655213, 0.0022045370001251285, 0.0022137399998882756, 0.002214046000062808, 0.002207959999850573, 0.0022987770000781893, 0.0021971720000237838, 0.0022518000000673055, 0.0022153999998408835, 0.002158298000040304, 0.0021777990000373393, 0.00220345399998223, 0.002241117000039594, 0.002214732000084041, 0.0022053259999665897, 0.002211802999909196, 0.002161978000003728, 0.0022138990000257763, 0.0021669200000360433, 0.0019755670000449754, 0.0020213779998812242, 0.0019631309999113, 0.002027985000040644, 0.0019846590000724973, 0.001982983000061722, 0.0019646910000119533, 0.002028521000056571, 0.001977319000161515, 0.0020048549999955867, 0.001982163000093351, 0.0019697759998962283, 0.0020050789999004337, 0.0020374650000576366, 0.0020010089999686897, 0.0020231299999977637, 0.0019999250000637403, 0.0020040570000219304, 0.001993419999962498, 0.0020023920001221995, 0.0020481639999161416, 0.0019935440000153903, 0.0020012060001590726, 0.0020147960001395404, 0.002050361999863526, 0.0020846540001002722]"
dm32seql4096,"[0.0203876749999381, 0.01975808599991069, 0.0200534499999776, 0.02007408999998006, 0.020200377000037406, 0.02027451399999336, 0.020116851000011593, 0.0201683799998591, 0.01988601700008985, 0.02038771299999098, 0.020195932999968136, 0.020246942000085255, 0.02048128700016605, 0.0202411119998942, 0.020708189000060884, 0.020230934000210254, 0.020281587999988915, 0.020211710000012317, 0.02043704099992283, 0.01989728099988497, 0.02040387700003521, 0.020289595000122063, 0.0200881709999976, 0.020309674999907656, 0.02035406899994996, 0.020456093000120745, 0.02041118900001493, 0.020567431000017677, 0.02043362199992771, 0.020205829999895286, 0.020144298999866805, 0.020245831000011094, 0.020041907999939212, 0.02000967200001469, 0.020116097000027366, 0.020253899000181264, 0.02067345299997214, 0.02047190299981594, 0.02042723800013846, 0.020219958000097904, 0.020318412000051467, 0.01980911800001195, 0.02015773200014337, 0.020012150000184192, 0.019987157000059597, 0.020266098999854876, 0.02018412699999317, 0.02026247899993905, 0.019773040999780278, 0.02009545399982926, 0.020012492999967435, 0.0200522610000462, 0.020571195000002263, 0.02029691100005948, 0.020381804999942688, 0.02016234000006989, 0.020077788000207875, 0.01986045200010267, 0.020131051999896954, 0.020194377999814606, 0.02003614800014475, 0.02014167099991937, 0.01981861299987031, 0.020420833999878596, 0.020089322999865544, 0.01997712699994736, 0.02017554300005031, 0.02020058500011146, 0.020160594999879322, 0.019783183000072313, 0.020240924000063387, 0.019996070999923177, 0.020076986000049146, 0.020406800000046132, 0.020278302000178883, 0.02030164200004947, 0.019766961999948762, 0.020349806000012904, 0.020109326000010697, 0.019975083000190352, 0.020369356999935917, 0.020206799999868963, 0.020179030000008424, 0.0200300359999801, 0.02035218600008193, 0.01999571700002889, 0.019986029000165217, 0.019993554000166114, 0.02008546000001843, 0.020209378999879846, 0.020193822000010186, 0.020271902999866143, 0.01984406500014302, 0.020157134000100996, 0.02016953499992269, 0.02001376800012622, 0.020062393000216616, 0.019858046999843282, 0.020122131999869453, 0.020187715000020034]"
memoryallocateddm32seql4096,587465216.0
